pod_count,request_sent_count,request_failed_count,cpu_avg,memory_avg,user_count,request_interval,test_duration
6,3,0,0,0,1,20,60
6,6,0,98.82869272521536,159.92725235462504,2,20,60
6,9,0,135.42619047617683,196.2488953444401,3,20,60
7,3,0,90.28972899781687,229.76229075735858,1,20,60
7,6,1,118.88095238096348,237.36505515940755,2,20,60

8,12,0,96.57619047619458,320.36606852164135,1,5,60
1,45,36,147.070833333349,199.85216011889463,3,2,30
1,60,60,89.47662239183364,127.10607557342459,4,2,30
