pod_count,request_sent_count,request_failed_count,failure_rate,cpu_avg,memory_avg,user_count,request_interval,test_duration
2,12,0,0.0,138.31458333332802,136.4940166915637,2,5,30
2,18,2,11.11111111111111,77.79166666666549,165.4334473164807,3,5,30
2,24,2,8.333333333333332,151.86250000001868,167.1675464921413,4,5,30
3,18,6,33.33333333333333,83.32083333335203,116.09044937185075,3,5,30
4,18,3,16.666666666666664,114.56250000004127,134.81091095434724,3,5,30
4,24,13,54.166666666666664,159.24999999995637,135.9612004152103,4,5,30
5,18,6,33.33333333333333,164.55833333333433,140.04909730100258,3,5,30
6,18,7,38.88888888888889,157.15000000001965,141.87041565280487,3,5,30
7,18,12,66.66666666666666,177.6333333333181,148.48929139001496,3,5,30
8,18,2,11.11111111111111,180.4728493458473,152.82361235887097,3,5,30
8,24,14,58.333333333333336,177.04166666668246,153.75010539118156,4,5,30
9,18,18,100.0,144.86250000000533,155.07216021282215,3,5,30
10,18,18,100.0,195.23951892326426,156.40281575165793,3,5,30
8,36,18,50.0,82.07916666668706,126.58296775240966,6,5,30
9,36,36,100.0,195.86580026969202,159.52716373031518,6,5,30
10,36,36,100.0,152.42635612419394,163.9481138953891,6,5,30
8,36,9,25.0,90.43333333333068,132.57069738082242,6,5,30
8,36,1,2.7777777777777777,189.77708333333334,75.95148182203425,6,5,30
8,42,19,45.23809523809524,128.61458333333323,85.6102272117281,7,5,30
9,36,20,55.55555555555556,154.89791666666684,88.21256857509326,6,5,30
10,36,36,100.0,166.28958333333335,90.76743206951879,6,5,30
1,600,0,0.0,0,0,10,1,60
1,600,1,0.16666666666666669,38.57261904761963,80.72724536115258,10,1,60
