pod_count,request_sent_count,request_failed_count,failure_rate,cpu_avg,memory_avg,user_count,request_interval,test_duration
1,6,0,0.0,87.34999999996339,113.31344783620918,1,5,30
1,12,0,0.0,69.20416666664096,132.02685519169205,2,5,30
1,18,0,0.0,95.92144045712196,132.07887459762998,3,5,30
1,6,0,0.0,110.8916666666725,125.79574473135497,1,5,30
1,12,1,8.333333333333332,69.59166666667747,132.50258235701966,2,5,30
1,18,0,0.0,109.16666666670913,132.5478836116396,3,5,30
1,24,0,0.0,116.35000000000223,132.8859330035203,4,5,30
1,30,16,53.333333333333336,135.31425600895025,132.7798844822621,5,5,30
1,36,36,100.0,192.0208333333176,132.89712112916493,6,5,30
2,6,2,33.33333333333333,226.96506961575872,149.8079516090482,1,5,30
2,12,11,91.66666666666666,255.98333333329117,163.50522240302502,2,5,30
3,6,4,66.66666666666666,333.6250000000352,184.7743844787283,1,5,30
3,12,6,50.0,320.40833333331955,204.09643620173372,2,5,30
3,18,13,72.22222222222221,368.127083333305,211.03319517770757,3,5,30
3,24,11,45.83333333333333,354.7788389980841,211.5141660629702,4,5,30
