timestamp,ollama-deployment-b47f85cb4-5glnr,ollama-deployment-b47f85cb4-cnp9n,ollama-deployment-b47f85cb4-hhxbb,ollama-deployment-b47f85cb4-kbmpj,ollama-deployment-b47f85cb4-mk4j6,ollama-deployment-b47f85cb4-mwbt5,ollama-deployment-b47f85cb4-n8t54,vectorexp-deployment-668478cb95-rn5pj
2025-04-23T08:33:39.721375,1,1977,1981,1,98,114,1981,1
2025-04-23T08:33:50.146174,1,1977,1981,1,98,114,1981,1
2025-04-23T08:34:00.591423,1,1982,1981,1,1,1,1981,1
2025-04-23T08:34:11.291448,1,1982,1981,1,1,1,1980,1
2025-04-23T08:34:22.001606,1,1979,1981,233,1,1,1979,1
2025-04-23T08:34:32.409274,1,1979,1981,233,1,1,1979,1
2025-04-23T08:34:42.786688,1165,1979,1981,1,1,1,1982,1
2025-04-23T08:34:53.187128,185,1979,1981,1,31,55,1980,2
2025-04-23T08:35:03.867668,185,1979,1981,1,31,55,1980,2
2025-04-23T08:35:14.460124,727,1979,1980,1,1,1,1979,1
2025-04-23T08:35:25.081151,722,1979,1981,592,1,27,1980,1
2025-04-23T08:35:35.812924,722,1979,1981,592,1,245,1980,1
2025-04-23T08:35:46.502889,720,1981,1981,1,646,839,1980,2
2025-04-23T08:35:56.995588,970,1979,1981,93,646,1,1981,3
2025-04-23T08:36:07.597047,12,1979,1979,1,29,1,1981,1
2025-04-23T08:36:17.987321,12,1979,1979,1,29,1,1981,1
2025-04-23T08:36:28.405561,1,1980,1978,1,1,1,1978,1
2025-04-23T08:36:39.021728,1,1977,1980,138,1,1,1980,2
2025-04-23T08:36:49.592463,1,1977,1980,138,1,1,1980,2
2025-04-23T08:37:00.126851,92,1977,1981,1,1,49,1981,2
2025-04-23T08:37:10.804802,1,1981,1978,1,1,1,1979,1
2025-04-23T08:37:21.422134,1,1980,1978,1,1,1,1980,1
2025-04-23T08:37:31.945870,1,1980,1978,1,1,1,1980,1
2025-04-23T08:37:42.578301,1,1979,1980,1,1,1,1979,1
2025-04-23T08:37:53.146638,1,1980,1981,1,1,1,1979,1
2025-04-23T08:38:03.701469,1,1980,1981,1,1,1,1979,1
2025-04-23T08:38:14.111758,1,1979,1982,1,1,1,1979,1
2025-04-23T08:38:24.492975,1,1979,1982,1,1,1,1979,1
