Time,CPU,MEMORY
1745195193.728296,45.333333333337606,439.75195813745495
1745195204.4312909,63.441666666676625,451.7275941522644
1745195214.984504,96.6833333333519,463.9074069626789
1745195225.605746,127.98333333332573,468.1219286557336
1745195236.225858,137.73333333332025,472.18681087520815
1745195246.808277,141.86666666668012,476.68867787978786
1745195257.7836,141.68333333333072,485.0384601640179
1745195268.3479118,136.5999999999955,485.1772111381546
1745195278.9852722,137.0000000000012,485.78860474219044
1745195289.529433,125.31666666666757,486.1330845297327
1745195300.140861,115.85000000001254,485.7905025665746
1745195310.644848,115.18333333333132,490.07360054546626
1745195321.1831172,125.84999999999127,493.3931837495102
1745195331.852444,134.24999999998968,495.5501661727382
1745195342.52861,132.6666666666582,495.28050583277013
1745195353.208506,157.60000000000218,499.9986860119139
1745195363.871851,129.83333333332365,500.5972930230254
1745195374.4216168,140.11666666666622,505.3251628292485
1745195385.037461,158.28333333334135,506.1516749870218
1745195395.690611,194.2166666666617,506.24986932544306
1745195406.324838,232.76666666666335,510.6762133928058
1745195416.94249,242.3333333333267,511.2603857130333
1745195427.448083,248.55000000000774,511.06040042463604
1745195438.216575,241.65000000000268,511.290203661411
1745195448.775913,260.58333333334303,511.6460713414495
1745195459.4683762,254.6666666666685,511.6150546900187
1745195470.066518,226.3333333333352,511.88781182315296
1745195480.800884,244.26666666666583,513.1180902790085
1745195491.281253,291.3000000000041,515.8467084154565
1745195501.9392881,291.1166666666547,518.6501961247518
1745195512.564428,239.1166666666656,519.0472695928777
1745195523.2107441,215.3666666666717,519.3027452997243
1745195533.8121011,232.89999999999964,519.6780419664385
1745195544.3521879,253.7999999999708,522.3401317106619
1745195554.957875,240.5499999999999,525.237268908758
1745195565.488405,239.73333333334568,525.8811771223826
1745195575.966526,260.29166666667004,526.2130707600924
1745195586.510619,309.66666666666856,526.9564221110777
1745195597.1123462,350.3999999999936,529.9877652480137
1745195607.6270669,377.8833333333296,532.6877143767343
1745195618.225483,384.51666666665915,534.2263613410879
1745195628.7841148,401.71666666667386,533.9072040255419
1745195639.280849,419.40000000000816,534.2111274330193
1745195649.9055529,406.91666666669033,534.8416001863103
1745195660.46684,403.87647993245065,535.596089518739
1745195670.959158,408.3999999999772,536.1514430055875
1745195681.468884,419.3666666666483,537.0586684003271
1745195692.471905,445.3065843141277,537.6671648562038
1745195703.320298,455.50000000002,537.6550777345085
1745195714.010955,456.35000000000827,537.8419270322408
1745195725.09119,428.0333333333177,538.1687759714321
1745195735.544936,461.49999999999034,538.4450791654124
1745195746.1885078,510.616666666668,539.6564278265768
1745195756.846816,536.4666666666684,540.3641175458318
1745195767.6891992,513.9833333333354,541.1720495637524
1745195778.34017,504.4018051343684,542.7695336324886
1745195788.752743,516.2833333333401,542.9102325440587
1745195799.503364,545.1749999999978,543.5839587090045
1745195810.001636,517.5520836806028,544.3678166714151
1745195820.6952891,484.46666666667323,544.8068449803739
1745195831.329029,500.5666666666639,545.5527439639059
1745195841.9236429,519.1105173678264,546.1586929129409
1745195852.6006231,552.0833333333152,546.5970720317839
1745195863.217288,566.2666666666519,547.3270877628381
1745195873.876398,556.7500000000049,548.0834753222358
1745195884.517281,537.8833333333326,548.3020904833774
1745195895.152214,499.4000000000081,549.391170300503
1745195905.695189,492.71666666666533,549.7706626020291
1745195916.323832,501.21666666667204,550.4075785055512
1745195926.970901,506.602606424369,550.9708232829303
1745195937.66997,507.8500000000016,550.9219258674307
1745195948.3985732,505.3761723827576,551.2622103153268
1745195959.147278,499.2000000000007,551.0922428258974
