start_count,end_count,total_time
1,2,11.493571043014526
1,2,11.493571043014526
2,3,12.061731100082397
3,4,12.19973373413086
3,4,12.19973373413086
4,5,11.86832308769226
3,4,12.19973373413086
4,5,11.86832308769226
5,6,12.400892972946167
3,4,12.19973373413086
4,5,11.86832308769226
5,6,12.400892972946167
6,7,11.993561744689941
3,4,12.19973373413086
4,5,11.86832308769226
5,6,12.400892972946167
6,7,11.993561744689941
7,8,11.840727806091309
0,1,1.9166929721832275
0,1,1.9166929721832275
1,2,12.144347906112671
0,1,1.9166929721832275
1,2,12.144347906112671
2,3,12.148112297058105
0,1,1.9166929721832275
1,2,12.144347906112671
2,3,12.148112297058105
3,4,12.39137578010559
0,1,1.9166929721832275
1,2,12.144347906112671
2,3,12.148112297058105
3,4,12.39137578010559
4,5,12.179899215698242
0,1,1.9166929721832275
1,2,12.144347906112671
2,3,12.148112297058105
3,4,12.39137578010559
4,5,12.179899215698242
5,6,12.295045852661133
0,1,1.9166929721832275
1,2,12.144347906112671
2,3,12.148112297058105
3,4,12.39137578010559
4,5,12.179899215698242
5,6,12.295045852661133
6,7,12.136616945266724
5,6,1.4764728546142578
5,6,1.6164090633392334
5,6,1.6164090633392334
6,7,12.00705885887146
5,6,1.536038875579834
5,6,1.536038875579834
6,7,12.003698110580444
5,6,1.536038875579834
6,7,12.003698110580444
7,8,13.14530086517334
7,8,1.8891901969909668
0,1,1.9753680229187012
0,1,1.409045934677124
0,1,1.6316959857940674
0,1,1.4586129188537598
0,1,1.117016077041626
0,1,1.2612252235412598
0,1,2.1734402179718018
0,1,2.034105062484741
0,1,1.9277870655059814
0,1,1.1775009632110596
0,1,1.1775009632110596
1,2,12.896572828292847
0,1,1.1775009632110596
1,2,12.896572828292847
2,3,11.703879833221436
0,1,1.1775009632110596
1,2,12.896572828292847
2,3,11.703879833221436
3,4,11.634233236312866
0,1,1.1775009632110596
1,2,12.896572828292847
2,3,11.703879833221436
3,4,11.634233236312866
4,5,12.3123037815094
0,1,1.7108879089355469
0,1,1.3000688552856445
0,1,1.8231370449066162
0,1,1.8231370449066162
1,2,12.102078914642334
0,1,1.8231370449066162
1,2,12.102078914642334
2,3,11.571072101593018
1,2,1.8679890632629395
1,2,12.05350136756897
2,3,11.881109237670898
2,3,11.881109237670898
3,4,11.629049062728882
2,3,11.881109237670898
3,4,11.629049062728882
4,5,11.539374113082886
2,3,11.881109237670898
3,4,11.629049062728882
4,5,11.539374113082886
5,6,11.058523893356323
2,3,11.881109237670898
3,4,11.629049062728882
4,5,11.539374113082886
5,6,11.058523893356323
6,7,11.33978819847107
2,3,11.881109237670898
3,4,11.629049062728882
4,5,11.539374113082886
5,6,11.058523893356323
6,7,11.33978819847107
7,8,11.815419912338257
2,3,11.881109237670898
3,4,11.629049062728882
4,5,11.539374113082886
5,6,11.058523893356323
6,7,11.33978819847107
7,8,11.815419912338257
8,9,10.913908004760742
2,3,11.881109237670898
3,4,11.629049062728882
4,5,11.539374113082886
5,6,11.058523893356323
6,7,11.33978819847107
7,8,11.815419912338257
8,9,10.913908004760742
9,10,10.912519931793213
7,8,0.8185317516326904
7,8,0.8185317516326904
8,9,11.442535877227783
7,8,0.8185317516326904
8,9,11.442535877227783
9,10,10.96654200553894
7,8,1.0755259990692139
7,8,73.47178316116333
7,8,73.47178316116333
8,9,73.01326489448547
7,8,73.47178316116333
8,9,73.01326489448547
9,10,11.842765092849731
7,8,73.47178316116333
8,9,73.01326489448547
9,10,11.842765092849731
10,11,11.887115001678467
0,1,0.5784623622894287
0,1,0.9311630725860596
0,1,1.1497371196746826
0,1,1.4001388549804688
0,1,1.1019630432128906
0,1,1.1019630432128906
1,2,73.91065430641174
0,1,1.1019630432128906
1,2,73.91065430641174
2,3,73.4606831073761
0,1,1.1019630432128906
1,2,73.91065430641174
2,3,73.4606831073761
3,4,63.47267293930054
0,1,1.1019630432128906
1,2,73.91065430641174
2,3,73.4606831073761
3,4,63.47267293930054
4,5,74.47641491889954
4,5,0.8419709205627441
0,1,1.3378257751464844
0,1,1.3378257751464844
1,2,11.426202058792114
0,1,1.3378257751464844
1,2,11.426202058792114
2,3,11.524663209915161
0,1,1.3378257751464844
1,2,11.426202058792114
2,3,11.524663209915161
3,4,11.47800588607788
0,1,1.3378257751464844
1,2,11.426202058792114
2,3,11.524663209915161
3,4,11.47800588607788
4,5,11.952903032302856
0,1,1.2302799224853516
6,7,73.78514623641968
