Time,CPU,MEMORY
1745410710.941834,7.775000000037778,67.55614729737007
1745410721.451723,25.633333333316855,71.663654708819
1745410731.926402,62.75833333328289,71.71307296516567
1745410742.422773,90.7583333333241,71.89385866395635
1745410752.944534,107.44166666670935,71.8561794033071
1745410763.427062,97.84583333338864,71.72690113796766
1745410773.980224,107.73333333330811,71.78870499971748
1745410784.518497,105.59166666662352,71.7915900267009
1745410794.993854,104.02499999996506,71.92949850098209
1745410805.4896472,102.4083333333086,71.97899132482883
1745410816.0280151,98.43333333336585,71.95058891621667
1745410826.5179489,118.05833333336824,71.93981989977569
1745410837.003016,141.25000000002427,72.02738987571013
1745410847.4694579,154.80833333328823,72.12222216168527
1745410857.9038348,153.90000000000634,72.20837453110353
1745410868.395566,165.1416666666531,72.17586841806255
1745410878.8673532,181.90833333329164,72.05283268290476
1745410889.394542,202.71666666665018,72.10215145048102
1745410899.942132,205.1500000000063,72.18017108646109
1745410910.4927459,188.85000000003248,72.20519105683562
1745410921.0261629,181.16666666671034,72.11796925651623
1745410931.565602,201.98333333337357,72.23128052666581
1745410941.9752991,209.66666666665938,72.30052077600513
1745410952.503366,205.71666666661866,72.18783129235676
1745410963.04705,179.60833333333235,72.1498784754955
1745410973.53882,172.35833333335907,72.0575333057602
1745410984.104738,155.12500000003155,72.1872592676129
1745410994.600864,155.10833333330083,72.2541119101116
1745411005.087538,165.14999999999415,72.24272108767255
1745411015.5088482,172.83333333331638,72.18337942157883
1745411026.056512,187.99166666666378,72.30119229690494
1745411036.5984771,189.5416666666885,72.31370227337985
1745411047.255599,168.79999999999808,72.22076021604674
1745411057.802287,158.71666666669626,72.39719348344445
1745411068.214218,162.58333333336245,72.30251043740738
1745411078.702721,165.89166666667248,72.37515795859916
1745411089.113666,165.87499999996606,72.35869349627478
1745411099.5946581,161.1999999999898,72.40117278080157
1745411110.1396759,158.00833333327319,72.34242799900258
1745411120.5246239,158.1000000000131,72.43728514944613
1745411130.989155,158.04999999996653,72.4676275071567
1745411141.4571571,157.90833333336195,72.5379869348968
1745411151.8909109,157.92499999999563,72.61543452350625
1745411162.376302,157.97500000000582,72.47834680599286
1745411172.777225,158.03333333335712,72.40550029999842
1745411183.198967,158.03333333333285,72.40281427294134
1745411193.603982,158.1083333333178,72.33317608400901
1745411204.101695,158.23333333331294,72.36215052233818
1745411214.518042,158.22500000002037,72.30012284131726
1745411224.980271,158.04166666668607,72.35797226472269
1745411235.385185,157.99166666667588,72.40467957590892
1745411245.683729,158.01666666665068,72.38585239658546
1745411256.0982988,158.13333333332898,72.42651611851856
1745411266.526728,158.17499999994953,72.48217691007574
1745411276.804912,158.22499999998402,72.51729443315219
1745411287.353845,158.1749999999859,72.60446652447084
1745411297.8061728,158.12500000003638,72.6249849105265
1745411308.220854,158.13333333332895,72.550198480114
1745411318.741788,158.20000000000923,72.58795231548805
1745411329.2266119,158.23333333333719,68.53113105616283
1745411339.62701,158.35833333328384,68.54289492822346
1745411350.098851,158.34166666667443,68.39742579212827
1745411360.569925,158.30000000000535,68.35467290335244
1745411371.026515,158.20000000009412,68.30744331957972
1745411381.3633542,158.28333333331102,66.49983566638015
1745411391.83537,158.28333333332318,64.56635702176577
1745411402.1794,158.25833333333622,64.52902595216453
1745411412.636419,158.1000000000131,64.61696901920708
1745411423.1357539,158.1166666666589,64.60851297088615
1745411433.481866,158.19999999998495,64.61754106008286
1745411443.980895,158.29166666665208,64.54345104337459
1745411454.462585,158.34166666668654,64.56088546080079
1745411464.926124,158.49166666663223,64.60968191768754
1745411475.415662,158.76666666670644,64.44759906527013
1745411485.7629812,158.87500000001938,64.52629018097895
1745411496.160408,158.75000000001214,64.48530314050744
1745411506.518529,158.49583333332095,64.51676466531777
1745411517.0543811,158.358333333296,64.48346270211958
1745411527.557868,158.40833333340316,64.37161881614043
1745411538.0304692,158.61666666667583,64.37117113465808
1745411548.4017532,158.54166666666666,64.4232754358948
1745411558.90717,158.84999999997189,64.59816673545919
1745411569.389247,158.78333333331585,64.5795634125511
1745411579.798217,158.77499999999904,64.55469262029001
1745411590.3366709,158.52499999996024,64.46336712717684
1745411600.787749,160.90833333330616,68.36492014616468
1745411611.1702049,161.69166666668997,68.42488359474517
1745411621.64598,161.71666666667682,68.4674374899101
1745411632.181252,159.22500000000582,68.44174597183992
1745411642.6523142,161.6083333333154,70.38718745207642
1745411653.0149739,161.67499999994712,70.45528363382292
1745411663.5092921,161.6250000000097,70.45016025394105
1745411674.0420082,175.49166666667588,72.38353941753553
1745411684.447716,176.57500000001164,72.34188082933126
1745411694.981196,166.374999999983,72.40853452815506
1745411705.447039,169.97500000003737,72.44148829601245
1745411715.878805,187.28333333334982,72.42691401295083
1745411726.3079731,192.87500000002183,72.47939134099678
1745411736.6701388,198.15833333330374,72.60262603612225
1745411747.1469781,200.02500000001118,72.55373008931457
1745411757.6121018,180.64166666668217,72.49961128308347
1745411768.135571,169.95833333333093,72.49806932094086
1745411778.60772,158.5166666666313,72.3682190122947
1745411789.1331892,160.7916666666521,72.34914306508345
1745411799.5976121,162.0916666666502,72.35640534520462
1745411810.019408,163.08333333334303,72.26182179060393
1745411820.437632,160.8916666666846,72.31402556942757
1745411830.86706,159.6166666666856,72.28798588623923
1745411841.29854,158.58333333333576,72.37938598008127
1745411851.7070022,158.49999999996118,72.41408068619323
1745411862.193978,158.3999999999893,72.48088360227887
1745411872.559506,158.49166666665647,72.53604697640868
1745411883.01747,158.63333333335808,72.40557489222215
1745411893.411721,158.72500000003737,72.34036372873746
1745411903.882763,158.66666666666183,72.3784657400111
1745411914.331724,158.67499999999075,72.17400312319805
1745411924.8559182,158.5916666666405,72.27388415021082
1745411935.35851,158.61666666665167,72.32263085761855
